Index,Id,Title,netProfit,grossrevenue,reasonForSale,niches,countries
43,81855613-7761-477a-8eef-b972d542f6ec,$280.9K Per Month Amazon FBA Site in the Health & Fitness Niche,68736,280948,The Seller is looking to use this capital to focus on another FBA brand within a different niche.,Health & Fitness Beauty,US
44,7bb90c3d-f820-41a4-8eab-1fb13f7349da,$177.5K Per Month Amazon KDP Site in the Lifestyle Niche,56674,177489,The Sellers would like to move on to another opportunity.,Lifestyle Culinary,US
45,75f946f6-3dbc-48d6-a3e5-fbf74af3fa37,$293.5K Per Month Amazon FBA Site in the Sports Niche,62839,293515,The Seller would like to focus on family and is working on a recently purchased house.,Sports,US
46,58894ae3-9a04-4ba0-b50a-556ce26ba374,$171.5K Per Month Amazon FBA Site in the Children Niche,55162,171512,The Seller would like to explore other opportunities.,Children Outdoors,US
47,4f3a4ddc-458e-406d-8730-1a228fb96fca,$150.2K Per Month Amazon FBA Site in the Beauty Niche,46457,150246,The Seller would like to explore other opportunities.,Beauty,US
48,b3dfb852-3a97-4fef-b47d-c17107249249,$188.3K Per Month Amazon FBA Site in the Children Niche,40744,188292,The Seller would like to focus on other business opportunities,Children,US
49,da05ee30-a7a5-467d-a4a4-cf140741b295,$189.6K Per Month Amazon FBA Site in the Children Niche,34347,189593,The Seller would like to use the capital for other projects.,Children,US
50,b0b361e3-d0f7-4d6a-bd64-890f71d7f283,$220.0K Per Month Amazon FBA Site in the Kitchenware Niche,46056,220033,The Seller would like to focus on other projects.,Kitchenware Home Beauty,US
51,ad52b9e3-14f6-49a0-ab86-d0e540631576,$137.7K Per Month Amazon FBA Site in the Sports Niche,49709,137709,The Seller would like to explore new business opportunities.,Sports Outdoors,US
52,82221ad9-d93a-4667-a3db-10e9804a6254,$86.3K Per Month Amazon FBA Site in the Health & Fitness Niche,43733,86287,The Seller would like to focus on other projects.,Health & Fitness,US
53,02a00587-ae62-4c5d-bc2b-abed970a41ec,$122.7K Per Month Amazon FBA Site in the Health & Fitness Niche,52237,122716,The Seller is looking to launch two new brands and needs a large amount of capital to fund that.,Health & Fitness,US
54,f597be9c-234a-4a06-8c74-d34ccc0f67e0,$37.2K Per Month SaaS Site in the Business Niche,24663,37232,The Seller would like to explore new business opportunities.,Business Retail & Wholesale,US
55,0ab50d81-af41-4110-8e26-36e089f22df7,$198.8K Per Month Amazon FBA Site in the Home Niche,61390,198807,The Seller is looking to invest this capital into their other brands within a different niche.,Home Kitchenware,US
56,d1fcfc8a-a443-4597-a846-bc1e4cb8e89a,$194.2K Per Month eCommerce Site in the Home Niche,42906,194154,The Seller is changing their portfolio strategy and would like to sell the business to focus on a singular niche within their portfolio.,Home,US
57,2920db24-f4bc-4000-8627-550443a50ddd,$169.7K Per Month Amazon FBA Site in the Occasions & Gifts Niche,40758,169656,The Seller would like to focus on other projects.,Occasions & Gifts Office Supply Equipment Hobbies,US
58,373aa126-5f47-4b26-814f-3b19945c75c8,$89.0K Per Month Affiliate Site in the Technology Niche,73621,89008,One of the Directors in the business has taken ill so all parties have agreed on the sale of the business.,Technology,US
59,2a12a958-d5cc-4edc-8709-1feb5d83149c,$151.5K Per Month Amazon FBA Site in the Office Supply Niche,55725,151473,The Seller is looking to invest in real estate.,Office Supply,US
60,e289b879-92af-4665-ab16-4b0c87e0f8d0,$115.7K Per Month eCommerce Site in the Home Niche,45030,115683,The Sellers are looking to focus on a new business.,Home,US
61,65643580-f98f-4a13-a023-e9e2163b2cae,$371.2K Per Month eCommerce Site in the Beauty Niche,48492,371249,The Sellers would like the capital to invest in other projects.,Beauty,US
62,e322752e-59cd-416c-a229-0ca547acfe26,$173.8K Per Month Amazon FBA Site in the Medical Niche,34407,173767,The Seller would like to use the capital for other projects.,Medical Survival & Security,US
63,ababec44-8212-4b94-87ed-b10495d05b3d,$50.1K Per Month Display Advertising Site in the Food & Beverages Niche,38998,50062,The Seller would like to explore other opportunities.,Food & Beverages,US
64,d4a65d05-b2a8-4089-9aa8-f9f4971f7b3d,$117.7K Per Month Amazon FBA Site in the Health & Fitness Niche,33200,117655,The Seller would like to explore other opportunities.,Health & Fitness,US
65,5094c231-9193-485e-8f19-4da94b16ad0d,$117.8K Per Month Amazon FBA Site in the Art Niche,50492,117839,The Seller would like to explore other opportunities.,Art,US
66,bdd67acb-0f9c-47e8-b6b6-12480575a688,$34.1K Per Month SaaS Site in the Business Niche,29900,34051,The Seller would like to explore new business opportunities.,Business,US
67,32bfc891-2591-4996-94aa-d34ee34771c4,$88.4K Per Month Amazon FBA Site in the Baby Care Niche,32181,88372,The Seller would like to move onto other projects.,Baby Care,US
68,1a7a390c-41be-4178-917a-5225415e2fa8,$143.2K Per Month Amazon FBA Site in the Automotive Niche,32701,143171,The Seller would like to focus on other business opportunities,Automotive,US
69,1b8b1b5a-fa64-4590-a38d-534dd48309b3,$28.7K Per Month SaaS Site in the Health & Fitness Niche,26228,28731,The Seller would like to explore other opportunities.,Health & Fitness Medical Children,US
70,9efa91ef-c574-4c39-baea-e57d6bc0ed28,$176.0K Per Month Amazon FBA Site in the Equipment Niche,43813,175994,The Seller would like the capital for other projects.,Equipment Outdoors Home,US
71,38a9fcc5-a447-4897-b44c-a4e3107a76c7,$185.8K Per Month Amazon FBA Site in the Sports Niche,58386,185758,Would like to raise capital for other investments we have planned.,Sports,US
72,6e70813d-7be4-498c-b445-f847e610e122,$114.8K Per Month Amazon FBA Site in the Health & Fitness Niche,37225,114765,The Seller would like to explore other opportunities.,Health & Fitness Medical Personal Care,US
73,ba530175-47f2-45c3-af2c-30c1a61732bc,$37.4K Per Month Display Advertising Site in the Art Niche,36394,37388,The Seller would like to explore other opportunities.,Art Children News & Education,US
74,aa1bc351-5bbc-4cd2-af3e-a3985ea04a37,$170.1K Per Month Amazon FBA Site in the Pet Care Niche,56002,170108,The Seller has another business they would like to pursue.,Pet Care,US
75,4ef6c423-757f-44f5-b279-7e1d17cfc14d,$70.4K Per Month Service Site in the Digital Media Niche,49183,70387,The Seller would like to focus on other projects.,Digital Media Advertising,US
76,180f7bd3-223c-4048-ac11-c62a96924618,$146.1K Per Month Amazon FBA Site in the Beauty Niche,46365,146098,The Seller would like to focus on other opportunities.,Beauty,US
77,91ed2eb4-e07e-4578-b42a-49dbd5b7717a,$207.1K Per Month Amazon FBA Site in the Health & Fitness Niche,50165,207095,The Seller is looking to use the funds to start a new business.,Health & Fitness,US
78,b22caf40-898f-4f6d-8610-3185f18688dc,$111.6K Per Month Amazon FBA Site in the Home Niche,36199,111614,The Seller would like to explore other opportunities.,Home Equipment,US
79,fa957822-c05c-463f-9c03-194bc2650ef2,$93.7K Per Month Amazon FBA Site in the Supplements Niche,32376,93735,The Seller would like to explore other business opportunities.,Supplements,US
80,30f61680-81b8-4323-ba3b-d4fb5da86f1b,$75.3K Per Month Amazon FBA Site in the Equipment Niche,34308,75288,The seller would like the capital for other projects.,Equipment Hobbies Outdoors Travel,US
81,888c377e-d8d9-4cad-b250-a99fb065a745,$135.6K Per Month Amazon FBA Site in the Beauty Niche,38965,135607,The Sellers would like to sell the business to start or buy other businesses,Beauty,US
82,682f76ef-cfc8-473b-8636-05abb20cab10,$31.3K Per Month Advertising Site in the Finance Niche,31119,31320,The seller is looking to sell this business and focus on new ideas. They have plans for some promising projects that will require significant time to put into action and get off the ground.,Finance,US
83,26399990-2369-4c72-b64d-fd76538cd2d5,$74.3K Per Month eCommerce Site in the Health & Fitness Niche,28667,74276,The Seller would like to raise funds to explore another business opportunity.,Health & Fitness,US
84,77cfbfbe-f2a0-4729-a464-1b7aa43d5565,$114.8K Per Month Amazon FBA Site in the Occasions & Gifts Niche,37164,114771,The Seller would like to explore new business opportunities.,Occasions & Gifts,US
85,3e67d250-e45e-4bb4-b738-f46de6525537,$117.0K Per Month Amazon FBA Site in the Beauty Niche,50030,116967,The Seller is hoping to raise capital to invest in other areas.,Beauty,US
86,419942fb-520c-423f-8e7c-f63201dd8be7,$30.1K Per Month Display Advertising Site in the Health & Fitness Niche,29780,30082,The Seller would like to explore other opportunities.,Health & Fitness,US
87,cf117fff-877f-42c7-a45c-8234b3ebe185,$225.5K Per Month Amazon FBA Site in the Beauty Niche,54692,225544,The Seller wants to raise capital for their next business venture and release some capital to buy a house.,Beauty Health & Fitness,US
88,7781e124-e8a6-4466-8de1-b1477b1dfcfc,$82.9K Per Month Amazon KDP Site in the Romance Niche,50717,82858,The Seller would like to focus on other business opportunities.,Romance,US
89,c6cb1ed1-05a8-400b-a2b8-bd84b2757373,$81.5K Per Month Amazon FBA Site in the Sports Niche,33347,81455,The Seller would like to focus on other opportunities.,Sports Outdoors,US
90,1564fde6-8a08-44fb-877c-e0d6e0fbe175,$138.1K Per Month Amazon FBM Site in the Home Niche,59488,138073,The Sellers would like to move onto other business opportunities within a different niche.,Home Kitchenware,US
91,744ef936-8633-4c6a-8be0-8b12b6513b75,$110.6K Per Month Amazon FBA Site in the Children Niche,33375,110646,The Seller would like to explore other opportunities.,Children Occasions & Gifts,US
92,d1668eac-dd9f-4341-a433-8238836f95c2,$135.1K Per Month Amazon FBA Site in the Outdoors Niche,31135,135071,The Seller would like to focus on other opportunities.,Outdoors,US
93,8aa98526-417a-46e0-b476-284503e8365d,$44.9K Per Month Amazon Associates Site in the Lifestyle Niche,40504,44898,The Seller would like to sell the business at this time so they can get into civil service.,Lifestyle,US
94,6bec4a64-87dc-4507-bf95-a309412480d8,$105.1K Per Month Amazon FBA Site in the Pet Care Niche,35303,105070,The Seller is looking to use the capital to start a new venture.,Pet Care,US
95,f88841e6-fea8-4f45-ac8a-b38a53db79f3,$66.4K Per Month Amazon FBA Site in the Health & Fitness Niche,23402,66426,The Seller would like to focus on other business opportunities,Health & Fitness News & Education,US
96,43acf108-77d3-45b5-8f02-705a82103c11,$159.3K Per Month Amazon FBA Site in the Home Niche,29883,159262,The Seller would like to explore other opportunities.,Home,US
97,316a33f4-cd8a-4bd9-8484-f514aa7cb6e3,$67.1K Per Month Amazon FBA Site in the Survival & Security Niche,32630,67134,The Seller is expecting their first child and would like to have the guaranteed income for supporting the child and family.,Survival & Security,US
98,5c3b504f-81e5-45e2-b172-84de3e742f9a,$130.5K Per Month Amazon FBA Site in the Home Niche,28458,130534,The Seller would like to explore other opportunities.,Home Equipment,US
99,fd836817-f1c9-46be-8a21-7c1be1e1b6c8,$128.7K Per Month Amazon FBA Site in the Kitchenware Niche,28281,128661,The Seller would like to focus on other business opportunities,Kitchenware,US
100,48a19663-6a12-45c0-827c-76d8ac5402de,$209.7K Per Month Amazon FBA Site in the Home Niche,45236,175026,The Seller would like to explore other opportunities.,Home Design,US
101,3a0a66a7-b9ee-4e72-8496-cdf28b23e670,$291.4K Per Month Amazon FBA Site in the Outdoors Niche,36253,291353,The Seller would like to use the capital for other projects.,Outdoors Sports Pet Care,US
102,f7db4fc8-3863-4ea9-93cc-db75709623a9,$45.8K Per Month Display Advertising Site in the News & Education Niche,41321,45788,The Seller is looking to launch other businesses and doesn't have time to do that while publishing for this business. They are also ready for a change.,News & Education,US
103,f7d8eb0a-4f3b-4771-94c0-1205a4f596ec,$80.7K Per Month Amazon FBA Site in the Pet Care Niche,27033,80716,The Seller would like to explore other opportunities.,Pet Care,US
104,8fe36c16-be99-4343-84bc-e75b5684e6c4,$138.1K Per Month Amazon FBA Site in the Home Niche,30093,138113,The Seller would like to raise capital to explore other business opportunities.,Home Kitchenware,US
105,ff4e761f-0e40-410a-9f4f-6413686e5b90,$116.1K Per Month Amazon FBA Site in the Health & Fitness Niche,43108,116111,The Seller would like to move on to other opportunities.,Health & Fitness,US
106,d884f546-3e9e-40b5-9ee4-95fd2c8121a6,$32.9K Per Month Amazon KDP Site in the Books Niche,28429,32941,The Seller would like to explore other opportunities.,Books,US
107,4ee6d9eb-9d54-4bc3-bc33-2a10d3b3af14,$143.7K Per Month Other Site in the Beauty Niche,28432,143660,The Seller would like to focus on other projects.,Beauty Medical Personal Care Retail & Wholesale,US
108,cd5ebc0b-776e-425e-a671-9b41621f067a,$213.5K Per Month Amazon FBA Site in the Hobbies Niche,27175,213545,The Seller would like to explore other opportunities.,Hobbies Equipment Art,US
109,db4c3c3c-2c36-4bcb-921c-9c1926920623,$93.8K Per Month Amazon FBA Site in the Personal Care Niche,25503,93821,The Seller would like to raise capital to invest in other business opportunities.,Personal Care,US
110,e8751157-9252-403c-b799-670eca8c28fa,$22.5K Per Month Display Advertising Site in the Hobbies Niche,22356,22476,The Seller would like to explore other opportunities.,Hobbies,US
111,3b82bbfb-464d-4701-a2a4-2e5ba854bf21,$21.6K Per Month Adsense Site in the Advertising Niche,21446,21646,The seller would like to take the capital from the sale to invest in other projects.,Advertising Home Equipment Travel Outdoors,US
112,648851e7-b979-41ee-a417-93316ad18b23,$90.5K Per Month Amazon FBA Site in the Food & Beverages Niche,22894,90544,The Sellers would like to focus on other business opportunities,Food & Beverages,US
113,f17d6b5b-2446-4eff-b8fb-c8e3052ac7a6,$124.6K Per Month Amazon FBA Site in the Personal Care Niche,57027,124629,The Seller would like to use the capital to grow their FBA businesses in other niches.,Personal Care,US
114,c21b8caf-28f0-46fd-a7ef-bc5aae9d40f2,$306.4K Per Month eCommerce Site in the Food & Beverages Niche,49381,306401,The Seller would like to focus on other opportunities.,Food & Beverages,US
115,86c368b2-6ad5-4f6e-ac9f-513706d19d8f,$62.3K Per Month Amazon FBA Site in the Kitchenware Niche,25059,62331,The Seller would like to focus on other business opportunities.,Kitchenware,US
116,b18000c7-e559-4ac6-a89f-11db1292e5b8,$215.9K Per Month Amazon FBA Site in the Health & Fitness Niche,30593,215924,The Seller is looking to focus on other business opportunities within a different niche.,Health & Fitness,US
117,18f88725-3131-4043-9ae1-f6e90e1a9260,$68.5K Per Month eCommerce Site in the Pet Care Niche,27280,68521,The Seller would like to explore other opportunities.,Pet Care Food & Beverages,US
118,37fada7c-2554-4819-82bb-c803ab531b9f,$130.9K Per Month Amazon FBA Site in the Home Niche,27124,130872,The Seller would like to explore different business opportunities.,Home,US
119,9bf3ff48-a8f6-4fae-beed-6337409069c0,$154.4K Per Month Amazon FBA Site in the Beauty Niche,40417,154432,The Sellers would like to focus on other business opportunities within a different niche.,Beauty,US
120,0df70ed1-77c2-48df-9868-de15df70180b,$98.5K Per Month Amazon FBA Site in the Beauty Niche,31205,98506,The Seller would like to raise capital for other opportunities.,Beauty,US
121,20b926d7-152c-42cd-ba42-3cc5b8a47306,$55.3K Per Month Amazon FBA Site in the Bed & Bath Niche,21238,55262,The Seller feels they have taken the business as far as they can and would like to pass the business on to a Buyer who can take the business to the next level.,Bed & Bath,US
122,afe67a5a-e2bb-48a0-bac0-22e0102247e0,$96.7K Per Month Amazon FBA Site in the Home Niche,22188,96719,The Seller would like to focus on other business opportunities.,Home,US
123,2751c036-6810-48ba-a98b-a93a94b03b58,$92.4K Per Month Amazon FBA Site in the Home Niche,23039,92386,The Seller would like to use the capital earned from a sale in other areas,Home,US
124,9de78cdc-3bc6-46f3-b373-a40135dbfc78,$70.9K Per Month Amazon FBA Site in the Children Niche,20916,70863,The Seller would like the capital for other projects.,Children Occasions & Gifts Art,US
125,94a6fb8b-6aa5-47ee-8fdf-adecaba0ffc2,$20.6K Per Month Affiliate Site in the Legal Niche,20440,20590,The Seller would like to raise capital for other business ventures.,Legal Information,US
126,c4d1cb7a-2c13-4acc-8458-64849c6d29ba,$63.2K Per Month Amazon FBA Site in the Pet Care Niche,26461,63236,The Seller would like to venture into other business projects.,Pet Care Office Supply,US
127,d0cf4602-409f-40c9-b7bf-7c0c30307837,$90.1K Per Month Amazon FBA Site in the Survival & Security Niche,22974,90147,The Seller would like to explore other opportunities.,Survival & Security,US
128,568b94e6-62de-4b8c-affb-7ec93986ffe0,$58.5K Per Month Service Site in the SEO Niche,21692,58475,The Seller would like to move on to other opportunities,SEO,US
129,a999ccb3-e5de-4971-b99a-dc3651b1bd87,$98.8K Per Month Amazon FBA Site in the Office Supply Niche,31547,98807,The Seller is looking to start a new business and invest in real estate.,Office Supply,US
130,8fdf27ff-8f38-4ba5-bc54-5ece5c860cc7,$23.6K Per Month Display Advertising Site in the Pet Care Niche,21444,23606,The Seller would like to focus on other opportunities.,Pet Care,US
131,8254fd35-9a84-4966-bbf0-9a302c043c76,$112.2K Per Month Subscription-Box Site in the Culinary Niche,26103,112229,The Seller would like the time to focus on other projects.,Culinary,US
132,013dbe1a-0ad4-4cdc-8b34-c1bec4f93a31,$139.5K Per Month Amazon FBA Site in the Baby Care Niche,22513,139548,The Seller would like to focus on other business opportunities,Baby Care,US
133,a08fb80b-8e82-4cd8-b61b-b1be9ea6f0dc,$143.7K Per Month Amazon FBA Site in the Pet Care Niche,27315,143713,The Seller would like the capital for other projects.,Pet Care,US
134,aed5c698-24f9-42e4-8795-86e898409480,$152.8K Per Month Amazon FBA Site in the Home Niche,25868,152774,The Seller would like the capital from the sale for other projects.,Home,US
135,593e74db-de1a-4df4-9b12-7dc556086689,$30.5K Per Month Display Advertising Site in the Music Niche,28358,30487,The Seller would like to explore other opportunities.,Music,US
136,a9ec5a8d-f352-42b2-8b8f-b6ee31ff6c60,$122.3K Per Month DropShipping Site in the Home Niche,24690,122314,The Seller would like to focus on other opportunities.,Home,US
137,5e3f49ed-75ee-41a3-aa89-ddd14aceab19,$137.2K Per Month Amazon FBA Site in the Kitchenware Niche,31784,137191,The Seller is looking to sell this business to pursue other ventures.,Kitchenware,US
138,87369be2-a738-4458-a7c5-df63c06c6254,$24.3K Per Month Affiliate Site in the Information Niche,21176,24317,The Seller would like to explore other opportunities.,Information News & Education,US
139,a90f78d1-2f61-48a4-89d7-8c954526d091,$24.3K Per Month Display Advertising Site in the Home Niche,22374,24330,The Seller would like to focus on other projects.,Home,US
140,e4b7748d-8936-4d86-941c-1336e80458ff,$55.9K Per Month SaaS Site in the Finance Niche,26830,55919,The Seller is looking to invest the capital in real estate.,Finance,US
141,47c930f9-6fa9-4066-9056-df0305dbca84,$117.4K Per Month DropShipping Site in the Outdoors Niche,21178,117438,The Seller would like to focus on other opportunities,Outdoors,US
142,0c4346d8-ed55-44e3-8d21-aee601f59284,$29.8K Per Month Amazon KDP Site in the Books Niche,23150,29830,The Seller would like to move on to other opportunities.,Books,US
143,188c30bb-0b99-4f9c-9f0a-da5ad46948cb,$80.6K Per Month Amazon FBA Site in the Home Niche,24342,80626,The Seller would like to use the capital for other projects.,Home Outdoors Electronics,US
144,ea9af914-266a-4b96-aef0-fbe80532b42d,$31.3K Per Month Application Site in the Health & Fitness Niche,27738,31320,The Seller is looking to use the capital to focus on a new business.,Health & Fitness,US
145,d59d5779-2650-42f2-8039-a55330f763d9,$78.2K Per Month Info Product Site in the Health & Fitness Niche,23399,78205,The Seller would like to explore other opportunities.,Health & Fitness,US
146,7dc0f9a0-40e9-4783-af29-f66825eb3d63,$18.8K Per Month Display Advertising Site in the Legal Niche,18816,18819,The Seller would like to use the capital for other projects.,Legal,US
147,5de4279b-793f-4ad0-a9c5-72a037c30a96,$43.9K Per Month Amazon KDP Site in the Health & Fitness Niche,30000,43915,The Seller would like to focus on other projects.,Health & Fitness Culinary,US
148,8f2916ad-e68f-4340-908b-d2179a4d4d87,$19.7K Per Month Display Advertising Site in the Finance Niche,18707,19740,The Seller would like to focus on other websites in different niches.,Finance Information,US
149,14a56961-e377-4957-a3c4-96ee3d721b4d,$83.2K Per Month Amazon FBA Site in the Hobbies Niche,22900,83214,The Seller would like to explore other opportunities.,Hobbies Gaming Home,US
150,417efd13-ffcd-430c-8ded-16d63f71d81b,$26.9K Per Month SaaS Site in the Digital Media Niche,16661,26877,The Seller would like to explore other opportunities.,Digital Media,US
151,ac55d2f0-77b0-4912-a6ee-7bb7e4b3ff16,$23.2K Per Month Affiliate Site in the Pet Care Niche,22049,23176,The Sellers are winding down a partnership and selling a number of businesses from their portfolio.,Pet Care,US
